"2023 Fall"
"Generated 12/11/2023, 10:28:28 AM"
,"CLSS ID","CRN","Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section","Course Title","Long Title","Schedule Type","Title","Meeting Pattern","Meetings","Instructor","Building and Room","Status","Part of Term","Session","Campus","Instructional Method","Visible","Special Approval","Credit Hrs Min","Credit Hours","Grade Mode","URL","Attributes","Course Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Waitlist Maximum","Wait Total","Cross-listings","Cross-list Enrollment","Cross-list Maximum","Cross-list Wait Total","Comments (details for ASO and/or justifications for Dean/FM approvals)","Section Text (visible in student views)#1","Section Text (visible in student views)#2","Final Exam","Restrictions
Student Attribute 
Include/Exclude","Restrictions
Student Attribute","Restrictions
Classification 
Include/Exclude","Restrictions
Classification","Restrictions
Degree 
Include/Exclude","Restrictions
Degree","Restrictions
Department 
Include/Exclude","Restrictions
Department","Restrictions
Level 
Include/Exclude","Restrictions
Level","Restrictions
Field of Study - All 
Include/Exclude","Restrictions
Field of Study - All","Restrictions
Field of Study - Concentration 
Include/Exclude","Restrictions
Field of Study - Concentration","Restrictions
Field of Study - Major 
Include/Exclude","Restrictions
Field of Study - Major","Restrictions
Field of Study - Minor 
Include/Exclude","Restrictions
Field of Study - Minor","Restrictions
Program 
Include/Exclude","Restrictions
Program"
,"2745","27360","2023 Fall","202340","DGM","DGM","481R","DGM 481R","004 (27360)","Internship","","Face to Face (F)","","Does Not Meet","Does Not Meet [Face to Face (Class)]","Brown, Kim (10550190) [Primary, 100%]","TBA TBA","Active","Internship (INT) - INT (8/23/23 to 12/16/23)","Not Applicable","M","Supervision at Remote Site (SUP)","Yes","Contact Internship Coordinator","4","4","Credit/No Credit","https://www.uvu.edu/internships/","","","3","9","3","9","0","","","","","","","","N--Classroom/Lab is NOT needed","Include (I)","University Advanced Standing (UAS) ","Include (I)","Junior (JR) Senior (SR) ","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
,"4266","31927","2023 Fall","202340","DGM","DGM","481R","DGM 481R","005 (31927)","Internship","","Face to Face (F)","","Does Not Meet","Does Not Meet [Face to Face (Class)]","Brown, Kim (10550190) [Primary, 100%]","TBA TBA","Active","Internship (INT) - INT (8/23/23 to 12/16/23)","Not Applicable","M","Supervision at Remote Site (SUP)","Yes","Contact Internship Coordinator","5","5","Credit/No Credit","https://www.uvu.edu/internships/","","","0","9","0","9","0","","","","","","","","N--Classroom/Lab is NOT needed","Include (I)","University Advanced Standing (UAS) ","Include (I)","Junior (JR) Senior (SR) ","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
"DGM 497R - Independent Study"
,"2116","24867","2023 Fall","202340","DGM","DGM","497R","DGM 497R","I01 (24867)","Independent Study","","Face to Face (F)","Indpndnt Stdy Motion Capture","Does Not Meet","Does Not Meet [Face to Face (Class)]","Staff [Primary, 100%]","TBA TBA","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Not Applicable","M","Individualized Instruction (INV)","Yes","Department Approval Required","3","3","Standard Letter","","","","0","9","0","9","0","","","","","","","","(No Option Selected)","Include (I)","University Advanced Standing (UAS) ","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
,"4429","32203","2023 Fall","202340","DGM","DGM","497R","DGM 497R","I02 (32203)","Independent Study","","Face to Face (F)","Independent Study WEB","Does Not Meet","Does Not Meet [Face to Face (Class)]","Hedrick, Emily (10470145) [Primary, 100%]","TBA TBA","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Not Applicable","M","Individualized Instruction (INV)","Yes","Department Approval Required","3","3","Standard Letter","","","","2","9","2","9","0","","","","","","","","N--Classroom/Lab is NOT needed","Include (I)","University Advanced Standing (UAS) ","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
,"4607","32466","2023 Fall","202340","DGM","DGM","497R","DGM 497R","I03 (32466)","Independent Study","","Face to Face (F)","","Does Not Meet","Does Not Meet [Face to Face (Class)]","Nibley, Alex (10007839) [Primary, 100%]","TBA TBA","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Not Applicable","M","Individualized Instruction (INV)","Yes","Department Approval Required","3","3","Standard Letter","","","","1","9","0","9","0","","","","","","","","N--Classroom/Lab is NOT needed","Include (I)","University Advanced Standing (UAS) ","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
,"3967","31083","2023 Fall","202340","DGM","DGM","497R","DGM 497R","I04 (31083)","Independent Study","","Face to Face (F)","Ind Study Animation","Does Not Meet","Does Not Meet [Face to Face (Class)]","Esmay, Larry (10012421) [Primary, 100%]","TBA TBA","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Not Applicable","M","Individualized Instruction (INV)","Yes","Department Approval Required","3","3","Standard Letter","","","","9","10","0","10","0","","","","","8 students currently registered. 2 more need to add the class.  They are students part of the 2D/3D split and need an additional class to graduate.  I have talked with Todd and he will approve.","","","N--Classroom/Lab is NOT needed","Include (I)","University Advanced Standing (UAS) ","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
,"4815","32899","2023 Fall","202340","DGM","DGM","497R","DGM 497R","I06 (32899)","Independent Study","","Face to Face (F)","Independent Study Cinema","Does Not Meet","Does Not Meet [Face to Face (Class)]","Staff [Primary, 100%]","TBA TBA","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Not Applicable","M","Individualized Instruction (INV)","No","Department Approval Required","2","2","Standard Letter","","","","0","9","0","9","0","","","","","","","","(No Option Selected)","Include (I)","University Advanced Standing (UAS) ","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
,"3744","30591","2023 Fall","202340","DGM","DGM","497R","DGM 497R","I08 (30591)","Independent Study","","Face to Face (F)","Ind Study Documentary Prod","Does Not Meet","Does Not Meet [Face to Face (Class)]","Staff [Primary, 100%]","TBA TBA","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Not Applicable","M","Individualized Instruction (INV)","Yes","Late Add--Must See Instructor","3","3","Standard Letter","","","","0","5","1","5","0","","","","","","","","N--Classroom/Lab is NOT needed","Include (I)","University Advanced Standing (UAS) ","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
,"6415","35804","2023 Fall","202340","DGM","DGM","497R","DGM 497R","I09 (35804)","Independent Study","","Face to Face (F)","Independent Study Audio","Does Not Meet","Does Not Meet [Face to Face (Class)]","Peterson, Owen (10226436) [Primary, 100%]","TBA TBA","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Not Applicable","M","Individualized Instruction (INV)","Yes","Department Approval Required","3","3","Standard Letter","","","","4","4","0","4","0","","","","","","","","N--Classroom/Lab is NOT needed","Include (I)","University Advanced Standing (UAS) ","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
,"6517","35997","2023 Fall","202340","DGM","DGM","497R","DGM 497R","I10 (35997)","Independent Study","","Face to Face (F)","Independent Study Web II","Does Not Meet","Does Not Meet [Face to Face (Class)]","Staff [Primary, 100%]","TBA TBA","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Not Applicable","M","Individualized Instruction (INV)","Yes","Department Approval Required","3","3","Standard Letter","","","","0","2","2","2","0","","","","","","","","N--Classroom/Lab is NOT needed","Include (I)","University Advanced Standing (UAS) ","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
,"6523","36009","2023 Fall","202340","DGM","DGM","497R","DGM 497R","I11 (36009)","Independent Study","","Face to Face (F)","Independ Study Web Design Dev","Does Not Meet","Does Not Meet [Face to Face (Class)]","Staff [Primary, 100%]","TBA TBA","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Not Applicable","M","Individualized Instruction (INV)","Yes","Department Approval Required","1","1","Standard Letter","","","","0","9","0","9","0","","","","","","","","(No Option Selected)","Include (I)","University Advanced Standing (UAS) ","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
,"8756","38555","2023 Fall","202340","DGM","DGM","497R","DGM 497R","I12 (38555)","Independent Study","","Face to Face (F)","Independent Study Animation 2D","Does Not Meet","Does Not Meet [Face to Face (Class)]","Esmay, Larry (10012421) [Primary, 100%]","TBA TBA","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Not Applicable","M","Individualized Instruction (INV)","Yes","Department Approval Required","3","3","Standard Letter","","","","4","5","0","5","0","","","","","Ratio 3:3:0
Sub - Animation 2D","","","N--Classroom/Lab is NOT needed","Include (I)","University Advanced Standing (UAS) ","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
"DWDD 2420 - Media Formats and Outputs"
,"8910","38701","2023 Fall","202340","DGM","DWDD","2420","DWDD 2420","I01 (38701)","Media Formats and Outputs","","Face to Face (F)","","Does Not Meet","Does Not Meet [Face to Face (Class)]","Harper, Michael (10004676) [Primary, 100%]","TBA TBA","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Not Applicable","M","Individualized Instruction (INV)","Yes","Department Approval Required","3","3","Standard Letter","","Lab access fee of $45 applies","Lab access fee of $45 applies","2","9","0","9","0","","","","","","","","N--Classroom/Lab is NOT needed","","","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
"DWDD 3410 - Interaction Design Colloquium"
,"8739","38536","2023 Fall","202340","DGM","DWDD","3410","DWDD 3410","I01 (38536)","Interaction Design Colloquium","","Face to Face (F)","","Does Not Meet","Does Not Meet [Face to Face (Class)]","Hedrick, Emily (10470145) [Primary, 100%]; Curtis, Ariana (10897366) [0%]","TBA TBA","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Not Applicable","M","Individualized Instruction (INV)","Yes","Department Approval Required","3","3","Standard Letter","","Lab access fee of $45 applies","Lab access fee of $45 applies","1","1","0","1","0","","","","","","","","N--Classroom/Lab is NOT needed","Include (I)","University Advanced Standing (UAS) ","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
"DWDD 3430 - Adaptive Media Experiences"
,"8740","38537","2023 Fall","202340","DGM","DWDD","3430","DWDD 3430","I01 (38537)","Adaptive Media Experiences","","Face to Face (F)","","Does Not Meet","Does Not Meet [Face to Face (Class)]","Hedrick, Emily (10470145) [Primary, 100%]; Curtis, Ariana (10897366) [0%]","TBA TBA","Active","Full Term (1) - 1 (8/23/23 to 12/16/23)","Not Applicable","M","Individualized Instruction (INV)","Yes","Department Approval Required","3","3","Standard Letter","","Lab access fee of $45 applies","Lab access fee of $45 applies","2","2","0","2","0","","","","","","","","N--Classroom/Lab is NOT needed","Include (I)","University Advanced Standing (UAS) ","","","","","","","Include (E)","Continuing Education (CE) ","","","","","","","","","",""
